Supplier ID,Supplier Name,Service ID,Description,Period,From Date,To Date,Begin B Date,End B Date,Pax Range,Week Days,Comment,Voucher Notes,Cost Code,VAT Code,Free Nights,Free Qty,Max Comm,Arr Only,Stay Over,Rate Type,Min Dur,N1,NT1,NG1,P1,PT1,PG1,NCom1,N2,NT2,NG2,P2,PT2,PG2,NCom2,N3,NT3,NG3,P3,PT3,PG3,NCom3,N4,NT4,NG4,P4,PT4,PG4,NCom4,N5,NT5,NG5,P5,PT5,PG5,NCom5,N6,NT6,NG6,P6,PT6,PG6,NCom6,N7,NT7,NG7,P7,PT7,PG7,NCom7,N8,NT8,NG8,P8,PT8,PG8,NCom8,ChildAge1,FreeWAdt1,NC1,NTC1,NGC1,PC1,PTC1,PGC1,ChildAge2,FreeWAdt2,NC2,NTC2,NGC2,PC2,PTC2,PGC2,ChildAge3,FreeWAdt3,NC3,NTC3,NGC3,PC3,PTC3,PGC3,OTPR Fee,OTPP Fee,Fee Per Nt,Tax Fee Per Nt,Cost Tax Formula,Price Tax Formula,Supplier Comm Per,Color,Discount,WhoStamp,DateStamp
"MX-WM-ZIH-CALIXT","Cala de Mar Resort and Spa Ixtapa","ID-FIT-RMDLXOF-STD","Romance Deluxe Ocean Front - Standard Rate","1","01 Mar 2025","31 Mar 2025","","","","","","","","","","","0","","","A","","450","130.5","0","0","0","0","0","535","155.15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","0","0","0","0","0","0","","","","","29%","","","0","","Srimathi","10 Jun 2025 05:28:49 AM"
"MX-WM-ZIH-CALIXT","Cala de Mar Resort and Spa Ixtapa","ID-FIT-RMDLXOF-STD","Romance Deluxe Ocean Front - Standard Rate","2","01 Apr 2025","30 Sep 2025","","","","","","","","","","","0","","","A","","400","116","0","0","0","0","0","485","140.65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","0","0","0","0","0","0","","","","","29%","","","0","","Srimathi","10 Jun 2025 05:28:49 AM"
"MX-WM-ZIH-CALIXT","Cala de Mar Resort and Spa Ixtapa","ID-FIT-RMDLXOF-STD","Romance Deluxe Ocean Front - Standard Rate","3","01 Oct 2025","26 Dec 2025","","","","","","","","","","","0","","","A","","450","130.5","0","0","0","0","0","535","155.15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","0","0","0","0","0","0","","","","","29%","","","0","","Srimathi","10 Jun 2025 05:28:49 AM"
"MX-WM-ZIH-CALIXT","Cala de Mar Resort and Spa Ixtapa","ID-FIT-RMDLXOF-STD","Romance Deluxe Ocean Front - Standard Rate","4","27 Dec 2025","02 Jan 2026","","","","","","","","","","","0","","","A","","630","182.7","0","0","0","0","0","715","207.35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","0","0","0","0","0","0","","","","","29%","","","0","","Srimathi","10 Jun 2025 05:28:49 AM"
"MX-WM-ZIH-CALIXT","Cala de Mar Resort and Spa Ixtapa","ID-FIT-RMDLXOF-STD","Romance Deluxe Ocean Front - Standard Rate","5","03 Jan 2026","31 Mar 2026","","","","","","","","","","","0","","","A","","450","130.5","0","0","0","0","0","550","159.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","0","0","0","0","0","0","","","","","29%","","","0","","IDLoading","13 May 2026 06:02:57 AM"
"MX-WM-ZIH-CALIXT","Cala de Mar Resort and Spa Ixtapa","ID-FIT-RMDLXOF-STD","Romance Deluxe Ocean Front - Standard Rate","6","01 Apr 2026","30 Sep 2026","","","","","","","","","","","0","","","A","","390","113.1","0","0","0","0","0","490","142.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","0","0","0","0","0","0","","","","","29%","","","0","","IDLoading","13 May 2026 06:02:57 AM"
"MX-WM-ZIH-CALIXT","Cala de Mar Resort and Spa Ixtapa","ID-FIT-RMDLXOF-STD","Romance Deluxe Ocean Front - Standard Rate","7","01 Oct 2026","26 Dec 2026","","","","","","","","","","","0","","","A","","430","124.7","0","0","0","0","0","530","153.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","0","0","0","0","0","0","","","","","29%","","","0","","IDLoading","13 May 2026 06:02:57 AM"
"MX-WM-ZIH-CALIXT","Cala de Mar Resort and Spa Ixtapa","ID-FIT-RMDLXOF-STD","Romance Deluxe Ocean Front - Standard Rate","8","27 Dec 2026","02 Jan 2027","","","","","","","","","","","0","","","A","3","620","179.8","0","0","0","0","0","720","208.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","0","0","0","0","0","0","","","","","29%","","","0","","IDLoading","13 May 2026 06:02:57 AM"
"MX-WM-ZIH-CALIXT","Cala de Mar Resort and Spa Ixtapa","ID-FIT-SERV-PRF","Preferred Amenities","1","01 Jan 2025","31 Mar 2026","","","","","","","","","","","0","","","E","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","0","0","0","0","0","0","","","","","","","","0","","SarathkumarVinayagam","16 Jun 2025 05:24:55 PM"
"MX-WM-ZIH-CALIXT","Cala de Mar Resort and Spa Ixtapa","LC-PLACEHOLDER","Lc-Placeholder","1","01 Mar 2025","31 Dec 2099","","","","","","","","","","","0","","","A","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","0","0","0","0","0","0","","","","","","","","0","","VelPattu","02 Jul 2025 07:23:13 AM"
